idFac;idCur
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;20
1;21
1;22
1;23
1;24
1;25
1;26
1;27
1;28
1;29
1;30
1;31
1;32
1;33
1;34
1;35
1;36
1;37
1;38
1;39
1;40
1;41
1;42
1;43
1;44
1;45
1;46
1;47
1;48
1;49
1;50
1;51
1;52
1;53
1;54
1;55
1;56
1;57
1;58
1;59
1;60
1;61
1;62
1;63
1;64
1;65
1;66
1;67
1;68
1;69
1;70
1;71
1;72
1;73
1;74
1;75
1;76
1;77
1;78
1;79
1;80
1;81
1;82
1;83
1;84
1;85
1;86
1;87
1;88
1;89
1;90
1;91
1;92
1;93
1;94
1;95
1;96
1;97
1;98
1;99
1;100
2;101
2;102
2;103
2;104
2;105
2;106
2;107
2;108
2;109
2;110
2;111
2;112
2;113
2;114
2;115
2;116
2;117
2;118
2;119
2;120
2;121
2;122
2;123
2;124
2;125
2;126
2;127
2;128
2;129
2;130
2;131
2;132
2;133
2;134
2;135
2;136
2;137
2;138
2;139
2;140
2;141
2;142
2;143
2;144
2;145
2;146
2;147
2;148
2;149
2;150
2;151
2;152
2;153
2;154
2;155
2;156
2;157
2;158
2;159
2;160
2;161
2;162
2;163
2;164
2;165
2;166
2;167
2;168
2;169
2;170
2;171
2;172
2;173
2;174
2;175
2;176
2;177
2;178
2;179
2;180
2;181
2;182
2;183
2;184
2;185
2;186
2;187
2;188
2;189
2;190
2;191
2;192
2;193
2;194
2;195
2;196
2;197
2;198
2;199
2;200
3;1
3;2
3;3
3;4
3;5
3;6
3;7
3;8
3;9
3;10
3;11
3;12
3;13
3;14
3;15
3;16
3;17
3;18
3;19
3;20
3;21
3;22
3;23
3;24
3;25
3;26
3;27
3;28
3;29
3;30
3;31
3;32
3;33
3;34
3;35
3;36
3;37
3;38
3;39
3;40
3;41
3;42
3;43
3;44
3;45
3;46
3;47
3;48
3;49
3;50
3;51
3;52
3;53
3;54
3;55
3;56
3;57
3;58
3;59
3;60
3;61
3;62
3;63
3;64
3;65
3;66
3;67
3;68
3;69
3;70
3;71
3;72
3;73
3;74
3;75
3;76
3;77
3;78
3;79
3;80
3;81
3;82
3;83
3;84
3;85
3;86
3;87
3;88
3;89
3;90
3;91
3;92
3;93
3;94
3;95
3;96
3;97
3;98
3;99
3;100
4;101
4;102
4;103
4;104
4;105
4;106
4;107
4;108
4;109
4;110
4;111
4;112
4;113
4;114
4;115
4;116
4;117
4;118
4;119
4;120
4;121
4;122
4;123
4;124
4;125
4;126
4;127
4;128
4;129
4;130
4;131
4;132
4;133
4;134
4;135
4;136
4;137
4;138
4;139
4;140
4;141
4;142
4;143
4;144
4;145
4;146
4;147
4;148
4;149
4;150
4;151
4;152
4;153
4;154
4;155
4;156
4;157
4;158
4;159
4;160
4;161
4;162
4;163
4;164
4;165
4;166
4;167
4;168
4;169
4;170
4;171
4;172
4;173
4;174
4;175
4;176
4;177
4;178
4;179
4;180
4;181
4;182
4;183
4;184
4;185
4;186
4;187
4;188
4;189
4;190
4;191
4;192
4;193
4;194
4;195
4;196
4;197
4;198
4;199
4;200
5;1
5;2
5;3
5;4
5;5
5;6
5;7
5;8
5;9
5;10
5;11
5;12
5;13
5;14
5;15
5;16
5;17
5;18
5;19
5;20
5;21
5;22
5;23
5;24
5;25
5;26
5;27
5;28
5;29
5;30
5;31
5;32
5;33
5;34
5;35
5;36
5;37
5;38
5;39
5;40
5;41
5;42
5;43
5;44
5;45
5;46
5;47
5;48
5;49
5;50
5;51
5;52
5;53
5;54
5;55
5;56
5;57
5;58
5;59
5;60
5;61
5;62
5;63
5;64
5;65
5;66
5;67
5;68
5;69
5;70
5;71
5;72
5;73
5;74
5;75
5;76
5;77
5;78
5;79
5;80
5;81
5;82
5;83
5;84
5;85
5;86
5;87
5;88
5;89
5;90
5;91
5;92
5;93
5;94
5;95
5;96
5;97
5;98
5;99
5;100
6;101
6;102
6;103
6;104
6;105
6;106
6;107
6;108
6;109
6;110
6;111
6;112
6;113
6;114
6;115
6;116
6;117
6;118
6;119
6;120
6;121
6;122
6;123
6;124
6;125
6;126
6;127
6;128
6;129
6;130
6;131
6;132
6;133
6;134
6;135
6;136
6;137
6;138
6;139
6;140
6;141
6;142
6;143
6;144
6;145
6;146
6;147
6;148
6;149
6;150
6;151
6;152
6;153
6;154
6;155
6;156
6;157
6;158
6;159
6;160
6;161
6;162
6;163
6;164
6;165
6;166
6;167
6;168
6;169
6;170
6;171
6;172
6;173
6;174
6;175
6;176
6;177
6;178
6;179
6;180
6;181
6;182
6;183
6;184
6;185
6;186
6;187
6;188
6;189
6;190
6;191
6;192
6;193
6;194
6;195
6;196
6;197
6;198
6;199
6;200
7;1
7;2
7;3
7;4
7;5
7;6
7;7
7;8
7;9
7;10
7;11
7;12
7;13
7;14
7;15
7;16
7;17
7;18
7;19
7;20
7;21
7;22
7;23
7;24
7;25
7;26
7;27
7;28
7;29
7;30
7;31
7;32
7;33
7;34
7;35
7;36
7;37
7;38
7;39
7;40
7;41
7;42
7;43
7;44
7;45
7;46
7;47
7;48
7;49
7;50
7;51
7;52
7;53
7;54
7;55
7;56
7;57
7;58
7;59
7;60
7;61
7;62
7;63
7;64
7;65
7;66
7;67
7;68
7;69
7;70
7;71
7;72
7;73
7;74
7;75
7;76
7;77
7;78
7;79
7;80
7;81
7;82
7;83
7;84
7;85
7;86
7;87
7;88
7;89
7;90
7;91
7;92
7;93
7;94
7;95
7;96
7;97
7;98
7;99
7;100
8;101
8;102
8;103
8;104
8;105
8;106
8;107
8;108
8;109
8;110
8;111
8;112
8;113
8;114
8;115
8;116
8;117
8;118
8;119
8;120
8;121
8;122
8;123
8;124
8;125
8;126
8;127
8;128
8;129
8;130
8;131
8;132
8;133
8;134
8;135
8;136
8;137
8;138
8;139
8;140
8;141
8;142
8;143
8;144
8;145
8;146
8;147
8;148
8;149
8;150
8;151
8;152
8;153
8;154
8;155
8;156
8;157
8;158
8;159
8;160
8;161
8;162
8;163
8;164
8;165
8;166
8;167
8;168
8;169
8;170
8;171
8;172
8;173
8;174
8;175
8;176
8;177
8;178
8;179
8;180
8;181
8;182
8;183
8;184
8;185
8;186
8;187
8;188
8;189
8;190
8;191
8;192
8;193
8;194
8;195
8;196
8;197
8;198
8;199
8;200
9;1
9;2
9;3
9;4
9;5
9;6
9;7
9;8
9;9
9;10
9;11
9;12
9;13
9;14
9;15
9;16
9;17
9;18
9;19
9;20
9;21
9;22
9;23
9;24
9;25
9;26
9;27
9;28
9;29
9;30
9;31
9;32
9;33
9;34
9;35
9;36
9;37
9;38
9;39
9;40
9;41
9;42
9;43
9;44
9;45
9;46
9;47
9;48
9;49
9;50
9;51
9;52
9;53
9;54
9;55
9;56
9;57
9;58
9;59
9;60
9;61
9;62
9;63
9;64
9;65
9;66
9;67
9;68
9;69
9;70
9;71
9;72
9;73
9;74
9;75
9;76
9;77
9;78
9;79
9;80
9;81
9;82
9;83
9;84
9;85
9;86
9;87
9;88
9;89
9;90
9;91
9;92
9;93
9;94
9;95
9;96
9;97
9;98
9;99
9;100
10;101
10;102
10;103
10;104
10;105
10;106
10;107
10;108
10;109
10;110
10;111
10;112
10;113
10;114
10;115
10;116
10;117
10;118
10;119
10;120
10;121
10;122
10;123
10;124
10;125
10;126
10;127
10;128
10;129
10;130
10;131
10;132
10;133
10;134
10;135
10;136
10;137
10;138
10;139
10;140
10;141
10;142
10;143
10;144
10;145
10;146
10;147
10;148
10;149
10;150
10;151
10;152
10;153
10;154
10;155
10;156
10;157
10;158
10;159
10;160
10;161
10;162
10;163
10;164
10;165
10;166
10;167
10;168
10;169
10;170
10;171
10;172
10;173
10;174
10;175
10;176
10;177
10;178
10;179
10;180
10;181
10;182
10;183
10;184
10;185
10;186
10;187
10;188
10;189
10;190
10;191
10;192
10;193
10;194
10;195
10;196
10;197
10;198
10;199
10;200
